
These predictions were generated by HydroDyn on 12-Aug-2019 at 11:27:38.




    Time            Wave1Elev              M1N1Vxi              M1N1Vzi              M1N1Axi              M1N1Azi             M1N1FDxi             M1N1FDzi             M1N1FIxi             M1N1FIzi             M1N1FAxi             M1N1FAzi
   (sec)                  (m)                (m/s)                (m/s)              (m/s^2)              (m/s^2)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)                (N/m)
    1.8500           1.5840E+00          -1.4238E-01          -9.8154E-01          -7.8212E-01           7.0541E-02           1.7455E+02          -1.1015E+02          -5.8311E+03           3.6794E+03           0.0000E+00           0.0000E+00
    1.8750           1.5260E+00          -1.6193E-01          -9.7953E-01          -7.8052E-01           8.0229E-02           1.5965E+02          -1.0074E+02          -5.8629E+03           3.6995E+03           0.0000E+00           0.0000E+00
    1.9000           1.4680E+00          -1.8149E-01          -9.7752E-01          -7.7892E-01           8.9916E-02           1.4541E+02          -9.1752E+01          -5.8947E+03           3.7196E+03           0.0000E+00           0.0000E+00
    1.9250           1.4100E+00          -2.0104E-01          -9.7551E-01          -7.7732E-01           9.9603E-02           1.3183E+02          -8.3185E+01          -5.9265E+03           3.7397E+03           0.0000E+00           0.0000E+00
    1.9500           1.3520E+00          -2.2059E-01          -9.7350E-01          -7.7572E-01           1.0929E-01           1.1892E+02          -7.5038E+01          -5.9583E+03           3.7598E+03           0.0000E+00           0.0000E+00
    1.9750           1.2941E+00          -2.4015E-01          -9.7149E-01          -7.7411E-01           1.1898E-01           1.0667E+02          -6.7311E+01          -5.9902E+03           3.7799E+03           0.0000E+00           0.0000E+00
    2.0000           1.2361E+00          -2.5970E-01          -9.6948E-01          -7.7251E-01           1.2867E-01           9.5091E+01          -6.0003E+01          -6.0220E+03           3.7999E+03           0.0000E+00           0.0000E+00
    2.0250           1.1750E+00          -2.7861E-01          -9.6508E-01          -7.6901E-01           1.3804E-01           8.3736E+01          -5.2838E+01          -6.0390E+03           3.8107E+03           0.0000E+00           0.0000E+00
    2.0500           1.1140E+00          -2.9753E-01          -9.6069E-01          -7.6551E-01           1.4741E-01           7.3102E+01          -4.6128E+01          -6.0560E+03           3.8214E+03           0.0000E+00           0.0000E+00
    2.0750           1.0530E+00          -3.1644E-01          -9.5629E-01          -7.6200E-01           1.5678E-01           6.3190E+01          -3.9874E+01          -6.0730E+03           3.8321E+03           0.0000E+00           0.0000E+00
    2.1000           9.9194E-01          -3.3535E-01          -9.5189E-01          -7.5850E-01           1.6615E-01           5.4000E+01          -3.4075E+01          -6.0900E+03           3.8428E+03           0.0000E+00           0.0000E+00
    2.1250           9.3090E-01          -3.5427E-01          -9.4750E-01          -7.5499E-01           1.7552E-01           4.5532E+01          -2.8731E+01          -6.1070E+03           3.8536E+03           0.0000E+00           0.0000E+00
    2.1500           8.6987E-01          -3.7318E-01          -9.4310E-01          -7.5149E-01           1.8489E-01           3.7786E+01          -2.3843E+01          -6.1240E+03           3.8643E+03           0.0000E+00           0.0000E+00
    2.1750           8.0884E-01          -3.9210E-01          -9.3870E-01          -7.4799E-01           1.9426E-01           3.0761E+01          -1.9410E+01          -6.1410E+03           3.8750E+03           0.0000E+00           0.0000E+00
    2.2000           7.4780E-01          -4.1101E-01          -9.3430E-01          -7.4448E-01           2.0363E-01           2.4458E+01          -1.5433E+01          -6.1580E+03           3.8857E+03           0.0000E+00           0.0000E+00
    2.2250           6.8677E-01          -4.2992E-01          -9.2991E-01          -7.4098E-01           2.1300E-01           1.8877E+01          -1.1912E+01          -6.1749E+03           3.8964E+03           0.0000E+00           0.0000E+00
    2.2500           6.2574E-01          -4.4884E-01          -9.2551E-01          -7.3748E-01           2.2237E-01           1.4018E+01          -8.8453E+00          -6.1919E+03           3.9072E+03           0.0000E+00           0.0000E+00
    2.2750           5.6316E-01          -4.6665E-01          -9.1883E-01          -7.3216E-01           2.3120E-01           9.8223E+00          -6.1980E+00          -6.1937E+03           3.9083E+03           0.0000E+00           0.0000E+00
    2.3000           5.0059E-01          -4.8445E-01          -9.1216E-01          -7.2684E-01           2.4002E-01           6.3711E+00          -4.0202E+00          -6.1954E+03           3.9094E+03           0.0000E+00           0.0000E+00
    2.3250           4.3802E-01          -5.0226E-01          -9.0548E-01          -7.2152E-01           2.4884E-01           3.6639E+00          -2.3119E+00          -6.1972E+03           3.9105E+03           0.0000E+00           0.0000E+00
    2.3500           3.7544E-01          -5.2007E-01          -8.9881E-01          -7.1620E-01           2.5767E-01           1.7009E+00          -1.0733E+00          -6.1989E+03           3.9116E+03           0.0000E+00           0.0000E+00
